epoch,train_loss,val_pair_loss,val_proto_acc,val_proto_auc
1,2.006025,1.295806,0.501138,0.717089
test_bal@1,,,0.637931,0.697714
2,1.558248,1.041485,0.603309,0.735956
test_bal@2,,,0.655172,0.706170
3,1.496848,1.016067,0.567115,0.797257
test_bal@3,,,0.683908,0.753072
4,1.339382,1.173053,0.582834,0.684049
test_bal@4,,,0.568966,0.645396
5,1.321719,0.958545,0.707549,0.755179
test_bal@5,,,0.614943,0.711983
6,1.253209,0.889985,0.622751,0.691856
test_bal@6,,,0.574713,0.663232
7,1.172894,0.871208,0.615305,0.710042
test_bal@7,,,0.632184,0.715815
8,1.290397,0.903130,0.612203,0.762419
test_bal@8,,,0.683908,0.719646
9,1.122258,0.871811,0.570631,0.723371
test_bal@9,,,0.557471,0.644008
10,1.164759,0.968608,0.506308,0.745079
test_bal@10,,,0.632184,0.745541
11,0.834856,0.735199,0.867632,0.677489
test_bal@11,,,0.597701,0.604968
12,0.792704,0.810571,0.835988,0.691722
test_bal@12,,,0.603448,0.693487
13,1.253962,0.884008,0.800414,0.671982
test_bal@13,,,0.597701,0.640706
14,1.202267,1.265344,0.435988,0.700806
test_bal@14,,,0.626437,0.694610
15,0.941119,0.731483,0.868873,0.628246
test_bal@15,,,0.597701,0.565597
16,0.791233,0.705943,0.918718,0.589838
test_bal@16,,,0.557471,0.496103
17,0.756013,0.706501,0.917684,0.611631
test_bal@17,,,0.563218,0.525433
18,0.830913,0.765246,0.898656,0.549525
test_bal@18,,,0.568966,0.536927
19,0.841752,0.764821,0.766701,0.693448
test_bal@19,,,0.637931,0.697979
20,0.835246,0.724441,0.917477,0.603926
test_bal@20,,,0.580460,0.582243
21,0.740153,0.709780,0.958842,0.523977
test_bal@21,,,0.540230,0.488572
22,0.723090,0.723240,0.964219,0.488272
test_bal@22,,,0.540230,0.493923
23,0.785289,0.703119,0.937746,0.590914
test_bal@23,,,0.534483,0.463932
24,0.726466,0.706003,0.960083,0.531892
test_bal@24,,,0.563218,0.523385
25,0.758557,0.716804,0.927198,0.539702
test_bal@25,,,0.574713,0.508125
26,0.729975,0.715715,0.941055,0.586600
test_bal@26,,,0.528736,0.495046
27,0.713831,0.694917,0.935264,0.572416
test_bal@27,,,0.540230,0.498481
28,0.707310,0.698692,0.965667,0.514175
test_bal@28,,,0.517241,0.483816
29,0.705152,0.697490,0.940641,0.497221
test_bal@29,,,0.557471,0.548685
30,0.740386,0.701177,0.950155,0.495056
test_bal@30,,,0.522989,0.489629
31,1.260320,0.768586,0.874457,0.597593
test_bal@31,,,0.557471,0.622407
32,1.147144,0.910474,0.818821,0.634031
test_bal@32,,,0.597701,0.660853
33,1.223496,0.932748,0.985522,nan
test_bal@33,,,0.500000,nan
34,0.879210,0.755647,0.926370,0.492635
test_bal@34,,,0.586207,0.549412
35,0.739287,0.705961,0.961324,0.523653
test_bal@35,,,0.528736,0.480447
36,0.710956,0.710081,0.958842,0.539348
test_bal@36,,,0.534483,0.490752
37,0.756529,0.697430,0.962771,0.522386
test_bal@37,,,0.540230,0.506936
38,0.726398,0.696498,0.971251,0.504043
test_bal@38,,,0.522989,0.470736
39,0.731934,0.693480,0.959255,0.511430
test_bal@39,,,0.551724,0.519223
40,0.724987,0.695703,0.965047,0.492389
test_bal@40,,,0.551724,0.515722
41,0.744409,0.695796,0.956774,0.531162
test_bal@41,,,0.557471,0.543731
42,0.705202,0.698598,0.968356,0.478450
test_bal@42,,,0.522989,0.456071
43,0.702921,0.693003,0.968356,0.467642
test_bal@43,,,0.522989,0.476879
44,0.709566,0.695049,0.968769,0.499895
test_bal@44,,,0.534483,0.511296
45,0.701277,0.693025,0.972699,0.483936
test_bal@45,,,0.522989,0.482362
46,0.836074,0.699708,0.957601,0.540211
test_bal@46,,,0.534483,0.505087
47,0.996133,1.482627,0.657704,0.737838
test_bal@47,,,0.672414,0.732197
48,1.392352,1.039481,0.645088,0.744758
test_bal@48,,,0.660920,0.703528
49,1.286070,0.930996,0.825646,0.604548
test_bal@49,,,0.620690,0.536068
50,0.824694,0.713561,0.856670,0.635408
test_bal@50,,,0.603448,0.629872
51,1.193456,1.079122,0.530093,0.695671
test_bal@51,,,0.666667,0.696393
52,1.121920,1.580724,0.737952,0.781586
test_bal@52,,,0.655172,0.746862
53,0.903302,1.987737,0.416753,0.771478
test_bal@53,,,0.683908,0.755582
54,0.748179,2.204448,0.398552,0.781802
test_bal@54,,,0.672414,0.748976
55,0.690699,2.247559,0.395450,0.760747
test_bal@55,,,0.666667,0.750429
56,0.687733,2.299428,0.402482,0.754494
test_bal@56,,,0.666667,0.752543
57,0.696913,2.376980,0.340848,0.759000
test_bal@57,,,0.632184,0.754525
58,0.685480,2.326083,0.377042,0.759138
test_bal@58,,,0.660920,0.743691
59,0.686471,2.204657,0.336505,0.741655
test_bal@59,,,0.637931,0.727111
60,0.685810,2.240005,0.337125,0.727867
test_bal@60,,,0.632184,0.723543
test_bal@final,,,0.632184,0.720174
