epoch,train_loss,val_pair_loss,val_proto_acc,val_proto_auc
1,1.918631,1.145876,0.492454,0.728491
test_bal@1,,,0.693182,0.759298
2,1.590845,1.300460,0.757118,0.643194
test_bal@2,,,0.602273,0.568182
3,1.438295,0.966916,0.673876,0.751039
test_bal@3,,,0.738636,0.786415
4,1.475963,0.859781,0.736269,0.674794
test_bal@4,,,0.636364,0.691116
5,1.207736,1.062142,0.705617,0.657063
test_bal@5,,,0.738636,0.764979
6,1.069508,0.758539,0.870702,0.616367
test_bal@6,,,0.590909,0.680785
7,1.249216,0.813686,0.750272,0.607605
test_bal@7,,,0.522727,0.607180
8,0.879352,0.742861,0.764120,0.632919
test_bal@8,,,0.545455,0.607955
9,0.861099,0.768430,0.847518,0.576567
test_bal@9,,,0.636364,0.576963
10,0.879796,0.711786,0.825424,0.660512
test_bal@10,,,0.613636,0.667355
11,0.920321,0.743171,0.981018,nan
test_bal@11,,,0.500000,nan
12,0.825478,0.705014,0.885016,0.586593
test_bal@12,,,0.579545,0.597107
13,0.722780,0.711099,0.892018,0.552484
test_bal@13,,,0.568182,0.559401
14,0.707310,0.702273,0.918313,0.536605
test_bal@14,,,0.568182,0.548554
15,0.729887,0.696159,0.939319,0.539994
test_bal@15,,,0.579545,0.584194
16,0.727002,0.716446,0.913646,0.513416
test_bal@16,,,0.590909,0.556043
17,0.941374,0.832919,0.676832,0.639782
test_bal@17,,,0.590909,0.634814
18,0.995386,0.889133,0.723666,0.646732
test_bal@18,,,0.647727,0.705320
19,1.048376,1.493657,0.383538,0.680888
test_bal@19,,,0.602273,0.634814
20,1.136684,0.766924,0.579431,0.713658
test_bal@20,,,0.750000,0.788740
21,0.941348,0.706339,0.763498,0.661141
test_bal@21,,,0.545455,0.624225
22,0.739340,nan,0.981018,nan
test_bal@22,,,0.500000,nan
23,0.777593,0.782895,0.737514,0.600309
test_bal@23,,,0.659091,0.681560
24,0.835715,0.714380,0.811265,0.626384
test_bal@24,,,0.625000,0.669680
25,0.726642,0.690521,0.860588,0.627063
test_bal@25,,,0.602273,0.666581
26,0.718726,0.693787,0.850630,0.609822
test_bal@26,,,0.579545,0.638946
27,0.714393,0.695957,0.876148,0.599786
test_bal@27,,,0.579545,0.631973
28,0.700376,0.692359,0.869768,0.634332
test_bal@28,,,0.568182,0.636364
29,0.699095,0.691756,0.885016,0.629129
test_bal@29,,,0.545455,0.619576
30,0.699471,0.694996,0.900265,0.550546
test_bal@30,,,0.579545,0.631715
31,0.701484,0.693533,0.878948,0.585298
test_bal@31,,,0.590909,0.631198
32,0.708295,0.695824,0.877703,0.610082
test_bal@32,,,0.568182,0.618543
33,0.704245,0.692877,0.919247,0.574186
test_bal@33,,,0.568182,0.580837
34,0.698050,0.691215,0.905088,0.590815
test_bal@34,,,0.568182,0.633264
35,0.698294,0.692454,0.903532,0.577220
test_bal@35,,,0.568182,0.610021
36,0.699202,0.691201,0.904310,0.600133
test_bal@36,,,0.545455,0.613378
37,0.727361,0.727266,0.876459,0.608150
test_bal@37,,,0.545455,0.622934
38,0.706943,0.692114,0.981018,nan
test_bal@38,,,0.500000,nan
39,0.704127,0.703708,0.981018,nan
test_bal@39,,,0.500000,0.605372
40,0.714660,0.690439,0.904777,0.631922
test_bal@40,,,0.534091,0.647211
41,0.695851,0.691723,0.981018,nan
test_bal@41,,,0.500000,nan
42,0.694737,0.692596,0.981018,nan
test_bal@42,,,0.500000,nan
43,0.693925,0.690078,0.981018,nan
test_bal@43,,,0.500000,nan
44,0.694960,0.694142,0.981018,nan
test_bal@44,,,0.500000,nan
45,0.694880,nan,0.981018,nan
test_bal@45,,,0.500000,nan
46,0.702113,0.691110,0.981018,nan
test_bal@46,,,0.500000,nan
47,0.694109,0.691492,0.981018,nan
test_bal@47,,,0.500000,nan
48,0.693738,0.691625,0.981018,nan
test_bal@48,,,0.500000,nan
49,0.694544,0.692727,0.918002,0.570856
test_bal@49,,,0.500000,nan
50,0.694282,0.693178,0.981018,nan
test_bal@50,,,0.500000,nan
51,0.693201,0.691784,0.981018,nan
test_bal@51,,,0.500000,0.539256
52,0.693885,0.692574,0.981018,nan
test_bal@52,,,0.500000,nan
53,0.696368,0.692528,0.950521,0.530131
test_bal@53,,,0.500000,nan
54,0.689750,0.734213,0.950210,0.570398
test_bal@54,,,0.500000,0.542097
55,0.575918,0.792745,0.981018,nan
test_bal@55,,,0.500000,nan
56,0.562665,0.832401,0.078419,0.509034
test_bal@56,,,0.522727,0.524535
57,0.563563,0.829963,0.070328,0.568717
test_bal@57,,,0.522727,0.552169
58,0.561771,0.839175,0.085110,0.516657
test_bal@58,,,0.500000,0.533574
59,0.560687,0.837947,0.086821,0.521025
test_bal@59,,,0.500000,0.481663
60,0.551667,0.833906,0.663918,0.778468
test_bal@60,,,0.704545,0.756198
test_bal@final,,,0.704545,0.756198
